dataset,#TrainingRelease,%Training,%Defective in Training,%Defective in Testing,Classifier,FeatureSelection,Balancing,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
BOOKKEEPER,3,69,57,27,NaiveBayes,No FS,UnderSampling,81.0,78.0,240.0,41.0,0.8211155789256624,0.3828673801329498,0.5094339622641509,0.6639344262295082
BOOKKEEPER,3,69,57,27,RandomForest,No FS,UnderSampling,120.0,118.0,200.0,2.0,0.8764821115578926,0.47372617813571494,0.5042016806722689,0.9836065573770492
BOOKKEEPER,3,69,57,27,IBK,No FS,UnderSampling,122.0,128.0,190.0,0.0,0.8664939684503558,0.4514998052201014,0.488,1.0
BOOKKEEPER,3,69,57,27,NaiveBayes,No FS,OverSampling,81.0,79.0,239.0,41.0,0.8168367872976595,0.3791157102539981,0.50625,0.6639344262295082
BOOKKEEPER,3,69,57,27,RandomForest,No FS,OverSampling,118.0,118.0,200.0,4.0,0.8434116919270028,0.46285622798591103,0.5,0.9672131147540983
BOOKKEEPER,3,69,57,27,IBK,No FS,OverSampling,118.0,131.0,187.0,4.0,0.8212573461181565,0.4203973303149761,0.4738955823293173,0.9672131147540983
BOOKKEEPER,3,69,57,27,NaiveBayes,No FS,Smote,82.0,81.0,237.0,40.0,0.8227136818228683,0.37824076236744986,0.5030674846625767,0.6721311475409836
BOOKKEEPER,3,69,57,27,RandomForest,No FS,Smote,122.0,127.0,191.0,0.0,0.8796525414991236,0.45474415518519956,0.4899598393574297,1.0
BOOKKEEPER,3,69,57,27,IBK,No FS,Smote,122.0,135.0,183.0,0.0,0.8750902154861326,0.4291315880521278,0.47470817120622566,1.0
BOOKKEEPER,3,69,57,27,NaiveBayes,BF,No Sampling,159.0,159.0,477.0,85.0,0.8009717496649139,0.36730941492621766,0.5,0.6516393442622951
BOOKKEEPER,3,69,57,27,RandomForest,BF,No Sampling,201.0,210.0,426.0,43.0,0.7814110990823796,0.4076076544839184,0.48905109489051096,0.8237704918032787
BOOKKEEPER,3,69,57,27,IBK,BF,No Sampling,201.0,214.0,422.0,43.0,0.8004981183627178,0.4007419183889773,0.4843373493975904,0.8237704918032787
BOOKKEEPER,3,69,57,27,NaiveBayes,BF,UnderSampling,79.0,77.0,241.0,43.0,0.8036395504691205,0.37333839726547674,0.5064102564102564,0.6475409836065574
BOOKKEEPER,3,69,57,27,RandomForest,BF,UnderSampling,121.0,120.0,198.0,1.0,0.8871919785544902,0.4724325181338935,0.5020746887966805,0.9918032786885246
BOOKKEEPER,3,69,57,27,IBK,BF,UnderSampling,120.0,126.0,192.0,2.0,0.8670481492937416,0.4472795791787706,0.4878048780487805,0.9836065573770492
BOOKKEEPER,3,69,57,27,NaiveBayes,BF,OverSampling,83.0,88.0,230.0,39.0,0.8002886895556243,0.35914491490435335,0.4853801169590643,0.680327868852459
BOOKKEEPER,3,69,57,27,RandomForest,BF,OverSampling,121.0,133.0,185.0,1.0,0.8578848334879885,0.43013995206062006,0.4763779527559055,0.9918032786885246
BOOKKEEPER,3,69,57,27,IBK,BF,OverSampling,119.0,132.0,186.0,3.0,0.830639756675946,0.42260585559314134,0.47410358565737054,0.9754098360655737
BOOKKEEPER,3,69,57,27,NaiveBayes,BF,Smote,80.0,77.0,241.0,42.0,0.8104830394886071,0.38000284185099215,0.5095541401273885,0.6557377049180327
BOOKKEEPER,3,69,57,27,RandomForest,BF,Smote,122.0,129.0,189.0,0.0,0.8943318898855552,0.4482678175667794,0.4860557768924303,1.0
BOOKKEEPER,3,69,57,27,IBK,BF,Smote,122.0,136.0,182.0,0.0,0.8672285802660068,0.425984191543243,0.4728682170542636,1.0
BOOKKEEPER,4,76,48,43,NaiveBayes,No FS,No Sampling,109.0,17.0,237.0,83.0,0.9309588254593176,0.5227087881511923,0.8650793650793651,0.5677083333333334
BOOKKEEPER,4,76,48,43,RandomForest,No FS,No Sampling,177.0,39.0,215.0,15.0,0.9585999015748031,0.7567862336403296,0.8194444444444444,0.921875
BOOKKEEPER,4,76,48,43,IBK,No FS,No Sampling,188.0,64.0,190.0,4.0,0.9468503937007874,0.7004819467488347,0.746031746031746,0.9791666666666666
BOOKKEEPER,4,76,48,43,NaiveBayes,No FS,UnderSampling,109.0,17.0,237.0,83.0,0.9308460465879265,0.5227087881511923,0.8650793650793651,0.5677083333333334
BOOKKEEPER,4,76,48,43,RandomForest,No FS,UnderSampling,184.0,45.0,209.0,8.0,0.9580667650918635,0.7632174696984874,0.8034934497816594,0.9583333333333334
BOOKKEEPER,4,76,48,43,IBK,No FS,UnderSampling,188.0,66.0,188.0,4.0,0.9428518700787402,0.6920497139475241,0.7401574803149606,0.9791666666666666
BOOKKEEPER,4,76,48,43,NaiveBayes,No FS,OverSampling,107.0,15.0,239.0,85.0,0.9220800524934383,0.5214386883557235,0.8770491803278688,0.5572916666666666
BOOKKEEPER,4,76,48,43,RandomForest,No FS,OverSampling,169.0,46.0,208.0,23.0,0.9291543635170604,0.6890321537559871,0.786046511627907,0.8802083333333334
BOOKKEEPER,4,76,48,43,IBK,No FS,OverSampling,177.0,54.0,200.0,15.0,0.9221928313648294,0.692118374452248,0.7662337662337663,0.921875
BOOKKEEPER,4,76,48,43,NaiveBayes,No FS,Smote,113.0,18.0,236.0,79.0,0.9308152887139107,0.5385583548435268,0.8625954198473282,0.5885416666666666
BOOKKEEPER,4,76,48,43,RandomForest,No FS,Smote,188.0,48.0,206.0,4.0,0.9616551837270341,0.7686906566664007,0.7966101694915254,0.9791666666666666
BOOKKEEPER,4,76,48,43,IBK,No FS,Smote,188.0,64.0,190.0,4.0,0.9498851706036745,0.7004819467488347,0.746031746031746,0.9791666666666666
BOOKKEEPER,4,76,48,43,NaiveBayes,BF,No Sampling,212.0,34.0,474.0,172.0,0.9102844078083989,0.5074095519955393,0.8617886178861789,0.5520833333333334
BOOKKEEPER,4,76,48,43,RandomForest,BF,No Sampling,280.0,56.0,452.0,104.0,0.86791031003937,0.6285190737964352,0.8333333333333334,0.7291666666666666
