dataset,#TrainingRelease,%Training,%Defective in Training,%Defective in Testing,Classifier,FeatureSelection,Balancing,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
SYNCOPE,3,75,25,30,RandomForest,BF,No Sampling,146.0,26.0,736.0,190.0,0.8651555274340708,0.4636635006784261,0.8488372093023255,0.43452380952380953
SYNCOPE,3,75,25,30,IBK,BF,No Sampling,146.0,26.0,736.0,190.0,0.8916268278965129,0.4636635006784261,0.8488372093023255,0.43452380952380953
SYNCOPE,3,75,25,30,NaiveBayes,BF,UnderSampling,74.0,37.0,344.0,94.0,0.8587129733783277,0.37933980582524274,0.6666666666666666,0.44047619047619047
SYNCOPE,3,75,25,30,RandomForest,BF,UnderSampling,141.0,78.0,303.0,27.0,0.9115266841644795,0.5849264467630095,0.6438356164383562,0.8392857142857143
SYNCOPE,3,75,25,30,IBK,BF,UnderSampling,160.0,112.0,269.0,8.0,0.8948725159355081,0.5612913536838741,0.5882352941176471,0.9523809523809523
SYNCOPE,3,75,25,30,NaiveBayes,BF,OverSampling,66.0,26.0,355.0,102.0,0.8611814148231471,0.37160639553600167,0.717391304347826,0.39285714285714285
SYNCOPE,3,75,25,30,RandomForest,BF,OverSampling,93.0,27.0,354.0,75.0,0.8713363954505686,0.5246026894865525,0.775,0.5535714285714286
SYNCOPE,3,75,25,30,IBK,BF,OverSampling,109.0,37.0,344.0,59.0,0.8587364079490064,0.5726587205059597,0.7465753424657534,0.6488095238095238
SYNCOPE,3,75,25,30,NaiveBayes,BF,Smote,84.0,31.0,350.0,84.0,0.8710083114610674,0.4591225680433832,0.7304347826086957,0.5
SYNCOPE,3,75,25,30,RandomForest,BF,Smote,80.0,2.0,379.0,88.0,0.920400574928134,0.549581578515561,0.975609756097561,0.47619047619047616
SYNCOPE,3,75,25,30,IBK,BF,Smote,80.0,2.0,379.0,88.0,0.9155808648918885,0.549581578515561,0.975609756097561,0.47619047619047616
SYNCOPE,4,79,26,52,NaiveBayes,No FS,No Sampling,106.0,6.0,258.0,180.0,0.872258423394787,0.339300937766411,0.9464285714285714,0.3706293706293706
SYNCOPE,4,79,26,52,RandomForest,No FS,No Sampling,102.0,9.0,255.0,184.0,0.8996344564526383,0.31453331439124865,0.918918918918919,0.35664335664335667
SYNCOPE,4,79,26,52,IBK,No FS,No Sampling,150.0,15.0,249.0,136.0,0.8443393727484637,0.45955619183965646,0.9090909090909091,0.5244755244755245
SYNCOPE,4,79,26,52,NaiveBayes,No FS,UnderSampling,119.0,6.0,258.0,167.0,0.8603650137741047,0.3843416370106761,0.952,0.4160839160839161
SYNCOPE,4,79,26,52,RandomForest,No FS,UnderSampling,190.0,37.0,227.0,96.0,0.8571466412375504,0.5197168857431749,0.8370044052863436,0.6643356643356644
SYNCOPE,4,79,26,52,IBK,No FS,UnderSampling,206.0,48.0,216.0,80.0,0.8173937804619623,0.5359628770301623,0.8110236220472441,0.7202797202797203
SYNCOPE,4,79,26,52,NaiveBayes,No FS,OverSampling,128.0,8.0,256.0,158.0,0.8786686798050435,0.4083262047333905,0.9411764705882353,0.44755244755244755
SYNCOPE,4,79,26,52,RandomForest,No FS,OverSampling,182.0,22.0,242.0,104.0,0.8866417673235855,0.5465015836452634,0.8921568627450981,0.6363636363636364
SYNCOPE,4,79,26,52,IBK,No FS,OverSampling,190.0,24.0,240.0,96.0,0.8480610298792117,0.5674740484429067,0.8878504672897196,0.6643356643356644
SYNCOPE,4,79,26,52,NaiveBayes,No FS,Smote,115.0,6.0,258.0,171.0,0.8742583174401356,0.3704652155356381,0.9504132231404959,0.4020979020979021
SYNCOPE,4,79,26,52,RandomForest,No FS,Smote,136.0,15.0,249.0,150.0,0.8989060182242,0.4106300900128589,0.9006622516556292,0.4755244755244755
