% 1. Title: Bookkeeper
% 
% 2. Sources:
%      (a) Domenico Verde
% 
@RELATION bookkeeper

@ATTRIBUTE version  string
@ATTRIBUTE filename string
@ATTRIBUTE loc numeric
@ATTRIBUTE age numeric
@ATTRIBUTE num-revisions numeric
@ATTRIBUTE changeset numeric
@ATTRIBUTE avg-changeset numeric
@ATTRIBUTE max-changeset numeric
@ATTRIBUTE num-authors numeric
@ATTRIBUTE loc-added numeric
@ATTRIBUTE avg-loc-added numeric
@ATTRIBUTE buggyness {yes, no}


@DATA
2,hedwig-server/src/main/java/org/apache/hedwig/server/topics/TrivialOwnAllTopicManager.java,58,258.85714285714283,5,2352,470.4,786,4,61,12.2,yes
2,hedwig-server/src/main/java/org/apache/hedwig/server/topics/ZkTopicManager.java,434,258.85714285714283,11,3206,291.45454545454544,591,6,615,55.90909090909091,yes
2,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsynBKCallback.java,110,258.85714285714283,3,1276,425.3333333333333,612,3,134,44.666666666666664,no
2,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsyncCallback.java,41,258.85714285714283,3,1441,480.3333333333333,616,3,36,12.0,no
2,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsyncZKCallback.java,104,258.85714285714283,3,1276,425.3333333333333,612,3,99,33.0,no
2,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/ZkUtils.java,84,258.85714285714283,7,2763,394.7142857142857,608,5,134,19.142857142857142,yes
2,hedwig-server/src/test/java/org/apache/hedwig/HelperMethods.java,63,258.85714285714283,3,1276,425.3333333333333,612,3,60,20.0,no
2,hedwig-server/src/test/java/org/apache/hedwig/StubCallback.java,57,258.85714285714283,2,1061,530.5,669,2,51,25.5,no
2,hedwig-server/src/test/java/org/apache/hedwig/StubScanCallback.java,63,258.85714285714283,2,1061,530.5,669,2,57,28.5,no
2,hedwig-server/src/test/java/org/apache/hedwig/client/TestPubSubClient.java,237,258.85714285714283,16,3267,204.1875,680,5,768,48.0,yes
2,hedwig-server/src/test/java/org/apache/hedwig/server/HedwigHubTestBase.java,139,258.85714285714283,12,3280,273.3333333333333,591,5,231,19.25,yes
2,hedwig-server/src/test/java/org/apache/hedwig/server/HedwigRegionTestBase.java,227,258.85714285714283,13,3305,254.23076923076923,591,5,333,25.615384615384617,yes
2,hedwig-server/src/test/java/org/apache/hedwig/server/PubSubServerStandAloneTestBase.java,67,258.85714285714283,10,3121,312.1,591,5,122,12.2,no
